"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"NC","6","R","M","C000556","15092",165,0.940604182356515,0.818100981496372,1.06198317532984,"Coble (R NC-6)",345,"Howard","Coble"
"WI","7","R","M","D000614", ,63,0.94152134561539,0.818453489748314,1.05136340652884,"Duffy (R WI-7)",346,"Sean","Duffy"
"CA","45","R","M","C001064","20539",491,0.942384666857529,0.808515022347047,1.09674823820971,"Campbell (R CA-45)",347,"John","Campbell"
"FL","15","R","M","R000593", ,13,0.94395000041332,0.820523654598823,1.05805708448332,"Ross (R FL-15)",348,"Dennis","Ross"
"TX","26","R","M","B001248","20355",26,0.945097500618107,0.831159867889272,1.06287197540167,"Burgess (R TX-26)",349,"Michael","Burgess"
"KS","1","R","M","H001057", ,23,0.945119572258885,0.830943974633596,1.06468101543428,"Huelskamp (R KS-1)",350,"Tim","Huelskamp"
"WI","5","R","M","S000244","14657",20,0.945786786971476,0.830519739064772,1.06713364265099,"Sensenbrenner (R WI-5)",351,"F.","Sensenbrenner"
"ID","1","R","M","L000573", ,49,0.958922248173043,0.841806925102946,1.08339250538703,"Labrador (R ID-1)",352,"Raul","Labrador"
"MN","6","R","F","B001256","20728",84,0.962733320856985,0.842444999101865,1.08068705890002,"Bachmann (R MN-6)",353,"Michele","Bachmann"
"WY","1","R","F","L000571", ,43,0.963322438752061,0.850823586376671,1.08141889799605,"Lummis (R WY-1)",354,"Cynthia","Lummis"
"IA","4","R","M","K000362","20325",30,0.96465461738046,0.847641261975156,1.08498821858447,"King (R IA-4)",355,"Steve","King"
"MS","1","R","M","N000186", ,223,0.966171605131011,0.837249774676336,1.11745357057266,"Nunnelee (R MS-1)",356,"Alan","Nunnelee"
"TX","1","R","M","G000552","20527",92,0.97066389785427,0.851846659062466,1.08729305846463,"Gohmert (R TX-1)",357,"Louie","Gohmert"
"UT","3","R","M","C001076", ,77,0.972816137196012,0.855615064329589,1.09704798391813,"Chaffetz (R UT-3)",358,"Jason","Chaffetz"
"PA","16","R","M","P000373","29752",21,0.977544874854034,0.856737951806382,1.09669825731908,"Pitts (R PA-16)",359,"Joe","Pitts"
"VA","6","R","M","G000289","39308",17,0.981080446507425,0.861627263705489,1.10781776930718,"Goodlatte (R VA-6)",360,"Robert","Goodlatte"
"KS","3","R","M","Y000063", ,14,0.983487782644764,0.86240322410457,1.10369527892191,"Yoder (R KS-3)",361,"Kevin","Yoder"
